full_length_group,record_id,pmcid,pmid,title,journal,pub_year,full_token_len,estimated_chunks_full,section_signal,imrad_core,imrad_with_conclusion,word_count,sentence_count,avg_sentence_words,abbreviation_mentions_top10,abbreviation_density_per_1000_words,statistical_marker_mentions,top_abbreviations,top_terms
long,pmc_001693,PMC538287,15566625,An adaptogenic role for omega-3 fatty acids in stress; a randomised placebo controlled double blind intervention study (pilot) [ISRCTN22569553],Nutrition Journal,2004,7262,23,B/I+M+R+D+C,True,True,4076,245,16.62,94,23.06,105,DHA(29); PSS(24); CI(14); T2(6); SD(6); NE(5); T3(5); T1(3); VAS(1); OSI-R(1),group(82); oil(82); placebo(70); stress(69); time(54); fish(46); subjects(37); groups(33)
long,pmc_002371,PMC548144,15644143,PGF2alpha induced differential expression of genes involved in turnover of extracellular matrix in rat decidual cells,Reproductive biology and endocrinology : RB&E,2005,7698,24,B/I+M+R+D,True,False,3077,164,18.76,139,45.17,34,PGF(62); ECM(31); RNA(8); IV(8); PDC(6); II(6); TIMP2(5); SGK(5); TIMP3(4); CA(4),pgf(61); protein(45); kinase(43); genes(41); expression(35); ecm(31); cells(29); decidual(26)
long,pmc_001624,PMC535897,15560847,Prevention of genital herpes in a guinea pig model using a glycoprotein D-specific single chain antibody as a microbicide,Virology Journal,2004,7820,25,B/I+M+R+D+C,True,True,3729,185,20.15,154,41.3,29,DL11(35); HSV(34); GH(22); HSV-2(16); HSV-1(14); DL2(9); PCR(7); CEA(6); BL21(6); PFU(5),scfv(64); chain(35); hsv(33); hsv-(30); single(28); antibodies(26); antibody(24); binding(23)
long,pmc_001567,PMC535546,15555065,"Assessment of FIV-C infection of cats as a function of treatment with the protease inhibitor, TL-3",Retrovirology,2004,8709,27,B/I+M+R+D+C,True,True,4253,233,18.24,235,55.26,14,TL-3(90); FIV(31); FIV-C(23); RNA(20); HIV(19); CD8(15); PCR(11); CD4(10); D105G(9); KAN(7),tl-(94); cats(79); animals(71); viral(65); protease(42); week(41); infection(40); treated(33)
long,pmc_001629,PMC535902,15555082,"Rhodobacter capsulatus porphobilinogen synthase, a high activity metal ion independent hexamer",BMC Biochemistry,2004,10059,32,B/I+M+R+D+C,True,True,4756,335,14.09,216,45.42,45,PBGS(160); BTP(13); ALA(8); PCR(8); DNA(7); DTT(5); PDB(5); SDS-PAGE(4); DEAE(3); S-300(3),pbgs(160); capsulatus(71); enzyme(42); activity(40); sequence(32); protein(32); hexamer(29); metal(28)
long,pmc_002027,PMC544882,15627404,Bioinformatic mapping of AlkB homology domains in viruses,BMC Genomics,2005,10414,33,B/I+M+R+D+C,True,True,5582,345,16.14,208,37.26,21,MT(39); HEL(34); RNA(33); NJ(18); NCBI(17); PSI-(16); ML(15); PTGS(14); DNA(12); SJA(10),domains(137); alkb(125); sequences(63); domain(57); viruses(43); viral(43); sequence(38); rdrp(37)
long,pmc_002103,PMC545062,15634360,The Prader-Willi syndrome murine imprinting center is not involved in the spatio-temporal transcriptional regulation of the Necdin gene,BMC Genetics,2005,10749,34,B/I+M+R+D+C,True,True,4980,259,19.22,178,35.74,53,PWS(39); MBII(32); IC(28); DNA(19); BAC(13); BAC109(13); E10(10); E12(8); C57BL(8); S-5(8),ndn(159); expression(76); genes(65); mouse(44); transgenic(44); expressed(40); snurf(40); pws(39)
long,pmc_001952,PMC544578,15588280,Nanoparticles – known and unknown health risks,Journal of Nanobiotechnology,2004,11630,37,B/I+C,False,False,6275,350,17.92,25,3.98,66,PP(6); BBB(3); DNA(2); SEM(2); PLL(2); PEI(2); GIT(2); SC(2); DMAB(2); DEP(2),particles(114); nanoparticles(48); skin(45); fibres(38); surface(37); micron(34); particle(33); cells(31)
medium,pmc_001692,PMC538286,15458570,"Effect of straining on diaphragmatic crura with identification of the straining-crural reflex. The ""reflex theory"" in gastroesophageal competence",BMC Gastroenterology,2004,4168,13,B/I+M+R+D+C,True,True,2046,126,16.24,73,35.68,31,CD(40); LES(14); EMG(13); SD(2); MES(1); FM(1); MA(1); RS-3400(1),straining(53); pressure(47); crural(40); lower(35); esophageal(28); reflex(24); diaphragm(21); activity(20)
medium,pmc_001756,PMC539254,15566574,Predictors of mortality of patients with acute respiratory failure secondary to chronic obstructive pulmonary disease admitted to an intensive care unit: A one year study,BMC Pulmonary Medicine,2004,5308,17,B/I+M+R+D,True,False,2673,179,14.93,156,58.36,85,COPD(32); II(27); APACHE(25); ICU(24); SA(18); ROC(10); HCO(7); GCS(5); CI(4); PR(4),patients(90); copd(32); score(30); mortality(26); admission(25); apache(25); icu(24); outcome(23)
medium,pmc_001326,PMC529253,15511288,Neural stem cells express melatonin receptors and neurotrophic factors: colocalization of the MT 1 receptor with neuronal and glial markers,BMC Neuroscience,2004,5685,18,B/I+M+R+D+C,True,True,2636,139,18.96,173,65.63,59,MT(44); C17(33); GDNF(30); FBS(13); III(11); GFAP(11); ON(10); RT-PCR(8); CNS(7); BDNF(6),cells(69); expression(41); melatonin(34); nscs(31); gdnf(30); receptor(28); mrna(28); days(21)
medium,pmc_002111,PMC545070,15613231,CD28 expression in sentinel node biopsies from breast cancer patients in comparison with CD3-ζ chain expression,Journal of Translational Medicine,2004,6259,20,B/I+M+R+D+C,True,True,2811,182,15.45,248,88.22,22,CD28(98); CD4(44); CD3-(41); CD8(33); SNB(7); BSS(7); B7(6); PABAK(6); CD3(4); TIL(2),expression(106); sentinel(36); node(36); patients(35); low(29); degree(27); high(25); moderate(25)
medium,pmc_002042,PMC544897,15596013,Variations and voids: the regulation of human cloning around the world,BMC Medical Ethics,2004,6301,20,B/I+C,False,False,3795,205,18.46,127,33.47,33,NRC(57); RC(49); US(6); UN(5); SCNT(5); II(1); III(1); IV(1); VI(1); VII(1),cloning(59); nrc(57); human(56); legislation(52); regulatory(40); countries(36); prohibits(29); act(28)
medium,pmc_002117,PMC545076,15606914,Development of a questionnaire weighted scoring system to target diagnostic examinations for asthma in adults: a modelling study,BMC Family Practice,2004,6499,21,B/I+M+R+D+C,True,True,3787,168,22.54,34,8.98,74,PPV(13); WYCAP(7); COPD(5); OAD(3); ECRHQ(1); SPSS(1); SH(1); TF(1); PF(1); JS(1),asthma(72); individuals(43); questionnaire(42); probability(42); scoring(33); score(33); clinical(30); weighted(27)
medium,pmc_002201,PMC545951,15644130,Cyclic nucleotide binding proteins in the Arabidopsis thaliana and Oryza sativa genomes,BMC Bioinformatics,2005,6832,22,B/I+M+R+D+C,True,True,3586,192,18.65,106,29.56,26,CNB(37); GAF(22); CNGC(12); PKA(10); CAP(8); RII(4); SMART(4); HCN2(3); CNTE(3); TIGR(3),cyclic(80); nucleotide(45); domains(45); domain(39); cnb(37); nucleotides(34); protein(34); proteins(28)
medium,pmc_002864,PMC554787,15725346,The relationships between depression and other outcomes of chronic illness caregiving,BMC Nursing,2005,6839,22,B/I+M+R+D+C,True,True,3657,205,17.81,38,10.39,58,CES-D(9); SD(6); GFI(5); RNFI(5); AGFI(4); ACL(3); RNI(3); LISREL(1); AGF(1); PT(1),depression(69); stress(56); caregivers(52); caregiver(47); wave(41); model(40); hours(37); perceived(37)
short,pmc_002147,PMC545216,,Authors' Reply,PLoS Medicine,2005,344,1,no detected section titles,False,False,201,10,20.1,0,0.0,1,,children(8); volume(4); malaria(4); severe(3); intravascular(3); maitland(2); colleagues(2); consider(2)
short,pmc_001379,PMC529422,15578104,Using Modified Antigenic Sequences to Develop Cancer Vaccines: Are We Losing the Focus?,PLoS Medicine,2004,1621,5,C,False,False,925,46,20.11,33,35.68,6,MHC(9); CD8(6); TCR-A(5); TCR(4); TCR-B(4); TCR-C(4); CTL(1),peptides(20); cells(14); tumor(13); antigens(10); antigen(9); ctls(9); cell(9); mhc(9)
short,pmc_001750,PMC539248,15581427,Successful obstetrical management of 110-day intertwin delivery interval without cerclage: counseling and conservative management approach to extreme asynchronous twin birth,BMC Pregnancy and Childbirth,2004,1962,6,B/I+C,False,False,1119,70,15.99,6,5.36,5,BPP(2); LMG(1); SAW(1); SAS(1); ESS(1),twin(26); delivery(19); patient(13); weeks(12); later(9); cerclage(8); management(7); membranes(7)
short,pmc_001429,PMC531613,15562322,A Taxpayer-Funded Clinical Trials Registry and Results Database,PLoS Medicine,2004,2471,8,C,False,False,1597,72,22.18,66,41.33,11,FDA(36); NDA(13); US(8); AMA(5); IND(3); CR(1),fda(37); trials(19); review(15); reviews(15); drug(14); information(14); clinical(13); nda(13)
short,pmc_001377,PMC529420,15578102,A 33-Year-Old Man with a Facial Rash,PLoS Medicine,2004,2901,9,D,False,False,1561,113,13.79,20,12.81,10,HSV(5); HSV-1(5); PCR(4); DNA(2); DESCRIPTION(1); CASE(1); HIV(1); DISCUSSION(1),eczema(35); herpeticum(16); patient(15); patients(14); skin(14); rash(13); diagnosis(11); infection(11)
short,pmc_001701,PMC538751,15527508,Tongue lesions in psoriasis: a controlled study,BMC Dermatology,2004,2965,10,B/I+M+R+D+C,True,True,1330,91,14.62,65,48.87,65,BMG(24); FT(22); OR(5); CI(4); PASI(3); GPP(3); SAM(3); HLA-CW6(1),psoriasis(38); patients(32); lesions(26); bmg(24); oral(23); psoriatic(22); tongue(21); cases(21)
short,pmc_001855,PMC543460,15603591,Analysis of superfamily specific profile-profile recognition accuracy,BMC Bioinformatics,2004,3323,11,B/I+M+R+D+C,True,True,1986,108,18.39,49,24.67,8,ROC(16); RMSD(12); PSI-BLAST(4); FAD(3); NAD(3); SCOP(3); COMPASS(3); ASTRAL(2); SAP(2); FAD-NAD(1),superfamilies(37); profile(35); superfamily(34); profiles(30); performance(30); sequence(29); diversity(22); conservation(17)
short,pmc_001343,PMC529270,15507134,Efficient activation of gene expression using a heat-shock inducible Gal4/Vp16-UAS system in medaka,BMC Biotechnology,2004,4091,13,B/I+M+R+D+C,True,True,1703,107,15.89,74,43.45,8,CFP(13); UAS(11); DNA(11); YFP(9); IR(8); SB(8); HSP70(4); MN(4); DR(3); RT-PCR(3),expression(40); activator(25); heat-shock(23); reporter(23); transgenic(20); gene(19); fig(16); embryos(15)
