query,rank,distance,id,record_id,route,chunk_strategy,title,section_title,source_file,snippet
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,1,0.1999911665916443,pmc_000001::chunk_00003,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Introduction,PMC000xxxxxx/PMC176545.xml,". 2002 ). Although ascribing putative roles for these ORFs in the absence of sequence similarity remains challenging, their unique nature may be key to identifying Plasmodium -specific pathways as candidates for antimalarial strategies. The complete P. falciparum lifecycle encompasses three major developmental stages: "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,2,0.21055388450622559,pmc_000001::chunk_00000,pmc_000001,semantic_section,section_whole_under_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Title and abstract,PMC000xxxxxx/PMC176545.xml,"The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum Plasmodium falciparum is the causative agent of the most burdensome form of human malaria, affecting 200–300 million individuals per year worldwide. The recently sequenced genome of P. falciparum revealed over 5,400 genes, of which "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,3,0.24308288097381592,pmc_000001::chunk_00044,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Discussion,PMC000xxxxxx/PMC176545.xml,". falciparum lifecycle. In this model, the same cis - and trans -acting regulatory elements driving the actual mRNA production in IDC are utilized in other developmental stages. These elements are then controlled by an alternate subset of factors determining the status of the lifecycle progression. These findings also "
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,4,0.31996190547943115,pmc_000004::chunk_00001,pmc_000004,recursive_fallback_no_section,recursive_fulltext_no_section,Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells,Full text fallback,PMC000xxxxxx/PMC176548.xml,"Every year, malaria kills as many as 2.5 million people. Of these deaths, 90% occur in sub-Saharan Africa, and most are children. While four species of the single-celled organism Plasmodium cause malaria, Plasmodium falciparum is the deadliest. Harbored in mosquito saliva, the parasite infects its human host as the mos"
Plasmodium falciparum intraerythrocytic developmental cycle transcriptome,5,0.37045788764953613,pmc_000001::chunk_00045,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Discussion,PMC000xxxxxx/PMC176545.xml,". Importantly, candidate groups of genes can be identified that are both functionally and transcriptionally related and thus provide focused starting points for the further elucidation of genetic and mechanistic aspects of P. falciparum . Such biological characterizations are presently a major objective in the search f"
pRb inactivation mammary cells tumor initiation progression,1,0.6384437084197998,pmc_000017::chunk_00006,pmc_000017,semantic_section,section_recursive_over_512,Microarray Analysis,Fishing for Hypotheses,PMC000xxxxxx/PMC212694.xml,". Much excitement has been generated recently by the potential for clinical applications of gene expression profiling in relation to complex diseases such as cancer, diabetes, aging, and response to toxins. An early foray into this realm was provided by Alizadeh et al. (2000) , who demonstrated that diffuse large B-cel"
pRb inactivation mammary cells tumor initiation progression,2,0.6615666151046753,pmc_000001::chunk_00037,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". In addition, the phase of the PfSUB1 homologue suggests a concomitant role, with PM IX slightly preceding merozoite invasion. In total, we have detected gene expression for over 80 putative proteases throughout the entire IDC ( Table S6 ). This set includes over 65 proteases from a group of recently predicted proteas"
pRb inactivation mammary cells tumor initiation progression,3,0.7067838907241821,pmc_000001::chunk_00021,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,. Schizont Stage A transition from early to mid-schizont is marked by the maximal induction of 29 ORFs predicted to encode various subunits of the proteasome ( Figure 2 I). Seven α and six β subunits of the 20S particle and 16 ORFs of the 19S regulatory particle were identified in this gene group. The common expression
pRb inactivation mammary cells tumor initiation progression,4,0.724473237991333,pmc_000001::chunk_00024,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". In addition, late-schizont-specific expression was observed for several antigens whose functions are not completely understood, but which have been associated with the invasion process. These ORFs include the merozoite-capping protein (MCP1), erythrocyte-binding-like protein 1 (EBL1), reticulocyte-binding proteins (R"
pRb inactivation mammary cells tumor initiation progression,5,0.7312684059143066,pmc_000001::chunk_00025,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". Peak expression during the mid-schizont stage was also observed for seven members of the serine repeat antigen (SERA) family, all of which contain putative cysteine protease domains. In addition to the proteases, expression of 12 serine/threonine protein kinases and three phophorylases was tightly synchronized with t"
type 2 diabetes high protein diet insulin concentration,1,0.5861426591873169,pmc_000009::chunk_00024,pmc_000009,semantic_section,section_whole_under_512,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Immunoblotting,PMC000xxxxxx/PMC212319.xml,"Immunoblotting Proteins were separated by SDS-PAGE, transferred to a nitrocellulose membrane, and blocked with 5% non-fat milk in PBS containing 0.1% Tween at room temperature for 2 hrs. The membrane was then cut in half horizontally. The upper part was used to detect the β subunit of the insulin receptor with a monocl"
type 2 diabetes high protein diet insulin concentration,2,0.6191012859344482,pmc_000009::chunk_00027,pmc_000009,semantic_section,section_whole_under_512,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,In vitro ARF activation assay,PMC000xxxxxx/PMC212319.xml,"In vitro ARF activation assay ARF activation was determined by the binding of GTPγS to the purified, myristoylated recombinant human ARF1 (mhARF1), as described by Shome and coworkers [ 23 ]. The insulin receptor was immunoprecipitated in the presence or absence of 100 nM insulin as described above. Four to 8 μg mhARF1"
type 2 diabetes high protein diet insulin concentration,3,0.6446247100830078,pmc_000009::chunk_00009,pmc_000009,semantic_section,section_recursive_over_512,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Results,PMC000xxxxxx/PMC212319.xml,". 4 ■). Insulin receptors that were immunoprecipitated in the absence of insulin did not accelerate the binding of GTPγS to the recombinant ARF1 as much as those obtained in the presence of insulin (Fig. 4 ○), indicating that the association of ARF-GEF activity with the insulin receptor was dependent on the presence of"
type 2 diabetes high protein diet insulin concentration,4,0.6741588711738586,pmc_000009::chunk_00014,pmc_000009,semantic_section,section_recursive_over_512,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Discussion,PMC000xxxxxx/PMC212319.xml,". This model and other similar ones have been used in our laboratory and others to examine specific aspects of insulin receptor function, such as receptor phosphorylation and traffic [ 23 , 31 – 33 ] and the regulation of the MAPK pathway [ 34 ]. Our studies showed that insulin promoted the translocation of myc-tagged "
type 2 diabetes high protein diet insulin concentration,5,0.6760618090629578,pmc_000009::chunk_00026,pmc_000009,semantic_section,section_whole_under_512,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Digitonin treatment,PMC000xxxxxx/PMC212319.xml,"Digitonin treatment Serum-starved HIRcB cells were collected, resuspended in PBS, and treated with 10 μM digitonin in the presence or absence of insulin (100 nM), ATP (1 mM), and GTPγS (100 μM) at 37°C for 15 min. To release intracellular proteins, the digitonin-treated cells were centrifuged in a microcentrifuge for 2"
immune response B cells master regulator,1,0.47022050619125366,pmc_000018::chunk_00000,pmc_000018,semantic_section,section_whole_under_512,V(D)J Recombination and the Evolution of the Adaptive Immune System,Title and abstract,PMC000xxxxxx/PMC212695.xml,"V(D)J Recombination and the Evolution of the Adaptive Immune System In order for the immune system to generate its vast numbers of receptors, B- and T-cell receptor genes are created by recombining preexisting gene segments. This well- coordinated set of reactions is explained"
immune response B cells master regulator,2,0.49657750129699707,pmc_000018::chunk_00007,pmc_000018,semantic_section,section_whole_under_512,V(D)J Recombination and the Evolution of the Adaptive Immune System,Conclusion,PMC000xxxxxx/PMC212695.xml,"Conclusion V(D)J recombination is absolutely crucial for the adaptive immune response. In its absence, our immune system is compromised. When it is not properly controlled, it gives rise to chromosomal translocations and B-and T-cell cancers. The elucidation of all steps of the reaction and attempts to understand exact"
immune response B cells master regulator,3,0.5659192800521851,pmc_000011::chunk_00001,pmc_000011,recursive_fallback_no_section,recursive_fulltext_no_section,Functional Analysis of RSS Spacers,Full text fallback,PMC000xxxxxx/PMC212688.xml,"Based on sheer numbers, microbes should rule the world. Most don't cause disease, but those that do have the advantage of multiplying and mutating at a much faster rate than any multicellular organism can. So how does a slowly reproducing, trillion-celled organism like a human protect itself? By having the right weapon"
immune response B cells master regulator,4,0.5915266275405884,pmc_000010::chunk_00002,pmc_000010,semantic_section,section_recursive_over_512,A Functional Analysis of the Spacer of V(D)J Recombination Signal Sequences,Introduction,PMC000xxxxxx/PMC212687.xml,"During B- and T-lymphocyte development, the immunoglobulin (Ig) and T-cell receptor (TCR) genes are assembled from discrete V, D, and J gene elements via a process of genomic rearrangements known as V(D)J recombination ( Fugmann et al. 2000a ; Hesslein and Schatz 2001 ). V(D)J recombination occurs in two steps: a cleav"
immune response B cells master regulator,5,0.6162819862365723,pmc_000010::chunk_00010,pmc_000010,semantic_section,section_recursive_over_512,A Functional Analysis of the Spacer of V(D)J Recombination Signal Sequences,Results,PMC000xxxxxx/PMC212687.xml,". The amount of recombination substrate recovered from each transfection was measured by PCR and used to normalize the recombination activity. Although we assayed primarily for SJ formation, analyses of CJ formation yielded parallel results (data not shown). As a reference, we used a substrate containing the 12-RSS fro"
SARS coronavirus spike protein trafficking,1,0.6471938490867615,pmc_000009::chunk_00002,pmc_000009,semantic_section,section_recursive_over_512,The Guanine Nucleotide Exchange Factor ARNO mediates the activation of ARF and phospholipase D by insulin,Background,PMC000xxxxxx/PMC212319.xml,"Small GTPases of the ADP-ribosylation factor (ARF) family play a major role in membrane trafficking in eukaryotic cells [ 1 ]. ARF activation is facilitated by specific guanine nucleotide exchange factors (ARF-GEFs). Several ARF-GEFs have been identified, varying in size, structure and subcellular distribution [ 2 – 6 "
SARS coronavirus spike protein trafficking,2,0.6476577520370483,pmc_000001::chunk_00039,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". In addition, components of two proteins secreted from the rhoptries to the host cell membranes, RhopH1 and RhopH3, or to the PVs RAP1, RAP2, and RAP3 were found in the selected set. Surprisingly, CLAG2 and CLAG9 were also classified into the merozoite invasion group. Although the biological function of these genes is"
SARS coronavirus spike protein trafficking,3,0.6504564881324768,pmc_000001::chunk_00037,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". In addition, the phase of the PfSUB1 homologue suggests a concomitant role, with PM IX slightly preceding merozoite invasion. In total, we have detected gene expression for over 80 putative proteases throughout the entire IDC ( Table S6 ). This set includes over 65 proteases from a group of recently predicted proteas"
SARS coronavirus spike protein trafficking,4,0.6565347909927368,pmc_000001::chunk_00036,pmc_000001,semantic_section,section_recursive_over_512,The Transcriptome of the Intraerythrocytic Developmental Cycle of Plasmodium falciparum,Results,PMC000xxxxxx/PMC176545.xml,". The other known falcipain, FP-3, does not show a marked induction in expression throughout the IDC. We fail to detect any transcripts for PM VI, VII, and VIII during the IDC. These genes may have roles in any of the other sexual, liver, or mosquito stages of development. In addition to the hemoglobinases, P. falcipar"
SARS coronavirus spike protein trafficking,5,0.6657299995422363,pmc_000014::chunk_00011,pmc_000014,semantic_section,section_recursive_over_512,The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway,Results,PMC000xxxxxx/PMC212691.xml,". In special cases (high axin concentrations), the flux through the system is affected by the binding of axin to GSK3β (step 19) as well as β-catenin (step 18). We have previously shown experimentally that TCF reduces the rate of β-catenin degradation ( Lee et al. 2001 ). Turnover of β-catenin (steps 11, 12, and 13) an"
