query_id,fusion_strategy,pooled_relevant_document_count,retrieved_relevant_count_at_10,pooled_recall_at_10,mrr_at_10,ndcg_at_10
Q001,rrf,0,0,0.0,0.0,0.9216017310213247
Q001,simple,0,0,0.0,0.0,0.914856882358379
Q001,weighted,0,0,0.0,0.0,0.914856882358379
Q002,rrf,2,2,1.0,1.0,0.9359419385539475
Q002,simple,2,2,1.0,1.0,0.9504379182071837
Q002,weighted,2,2,1.0,1.0,0.8685695900641645
Q003,rrf,4,4,1.0,0.3333333333333333,0.7836708672141464
Q003,simple,4,4,1.0,0.3333333333333333,0.7836708672141464
Q003,weighted,4,3,0.75,0.3333333333333333,0.685527179728588
Q004,rrf,5,5,1.0,0.3333333333333333,0.699049055155498
Q004,simple,5,4,0.8,0.25,0.6281033661484436
Q004,weighted,5,4,0.8,0.25,0.6281033661484436
Q005,rrf,2,2,1.0,0.3333333333333333,0.7629921409704408
Q005,simple,2,2,1.0,0.3333333333333333,0.7629921409704408
Q005,weighted,2,2,1.0,0.3333333333333333,0.7658693615485819
Q006,rrf,9,9,1.0,1.0,1.0
Q006,simple,9,8,0.8888888888888888,1.0,0.9538741420719156
Q006,weighted,9,9,1.0,1.0,1.0
Q007,rrf,3,2,0.6666666666666666,0.16666666666666666,0.672613135510138
Q007,simple,3,2,0.6666666666666666,0.16666666666666666,0.672613135510138
Q007,weighted,3,3,1.0,0.16666666666666666,0.7442655764287377
Q008,rrf,9,7,0.7777777777777778,1.0,0.8533502298517024
Q008,simple,9,7,0.7777777777777778,1.0,0.8533502298517024
Q008,weighted,9,7,0.7777777777777778,1.0,0.8248778872519127
Q009,rrf,7,6,0.8571428571428571,1.0,0.8466887899080979
Q009,simple,7,6,0.8571428571428571,1.0,0.8466887899080979
Q009,weighted,7,7,1.0,1.0,0.9505823454857973
Q010,rrf,3,3,1.0,1.0,0.9218558448071175
Q010,simple,3,3,1.0,1.0,0.9218558448071175
Q010,weighted,3,3,1.0,1.0,0.9218558448071175
Q011,rrf,5,5,1.0,0.25,0.7566286100853515
Q011,simple,5,5,1.0,0.3333333333333333,0.7908325125877209
Q011,weighted,5,5,1.0,0.25,0.7566286100853515
Q012,rrf,6,6,1.0,1.0,0.9975006572456404
Q012,simple,6,6,1.0,1.0,0.9975006572456404
Q012,weighted,6,6,1.0,1.0,0.9975006572456404
Q013,rrf,7,6,0.8571428571428571,1.0,0.8869021295882333
Q013,simple,7,6,0.8571428571428571,1.0,0.8869021295882333
Q013,weighted,7,7,1.0,1.0,0.9443181345355076
Q014,rrf,3,3,1.0,1.0,0.9278613904697234
Q014,simple,3,3,1.0,1.0,0.9278613904697234
Q014,weighted,3,3,1.0,1.0,0.9251636443592011
Q015,rrf,4,4,1.0,1.0,0.8421886221644499
Q015,simple,4,4,1.0,1.0,0.8421886221644499
Q015,weighted,4,4,1.0,1.0,0.8421886221644499
Q016,rrf,9,8,0.8888888888888888,1.0,0.9498289472583955
Q016,simple,9,8,0.8888888888888888,1.0,0.9498289472583955
Q016,weighted,9,8,0.8888888888888888,1.0,0.9274934975043406
Q017,rrf,8,7,0.875,1.0,0.8707127304474019
Q017,simple,8,7,0.875,1.0,0.8707127304474019
Q017,weighted,8,6,0.75,0.5,0.7452593401310595
Q018,rrf,7,5,0.7142857142857143,1.0,0.8254747945942692
Q018,simple,7,5,0.7142857142857143,1.0,0.7942494114478844
Q018,weighted,7,5,0.7142857142857143,1.0,0.842519236419526
Q019,rrf,6,5,0.8333333333333334,0.5,0.8206743139846636
Q019,simple,6,5,0.8333333333333334,0.5,0.8206743139846636
Q019,weighted,6,6,1.0,0.3333333333333333,0.819144380052113
Q020,rrf,0,0,0.0,0.0,0.9219403931203303
Q020,simple,0,0,0.0,0.0,0.9219403931203303
Q020,weighted,0,0,0.0,0.0,0.8352265646262105
Q021,rrf,3,3,1.0,0.5,0.818953310454702
Q021,simple,3,3,1.0,0.5,0.818953310454702
Q021,weighted,3,3,1.0,0.5,0.818953310454702
Q022,rrf,8,6,0.75,1.0,0.8843119853377372
Q022,simple,8,6,0.75,1.0,0.8843119853377372
Q022,weighted,8,7,0.875,1.0,0.9427802064443193
Q023,rrf,11,8,0.7272727272727273,1.0,0.8874699304014749
Q023,simple,11,8,0.7272727272727273,1.0,0.8874699304014749
Q023,weighted,11,10,0.9090909090909091,1.0,1.0
Q024,rrf,7,6,0.8571428571428571,1.0,0.8906871469471463
Q024,simple,7,6,0.8571428571428571,1.0,0.8906871469471463
Q024,weighted,7,6,0.8571428571428571,1.0,0.883196426108758
Q025,rrf,7,7,1.0,1.0,0.9421526745051746
Q025,simple,7,7,1.0,1.0,0.9421526745051746
Q025,weighted,7,6,0.8571428571428571,1.0,0.8620143267225749
Q026,rrf,6,6,1.0,1.0,0.9879596500906199
Q026,simple,6,6,1.0,1.0,0.9879596500906199
Q026,weighted,6,6,1.0,1.0,0.9901053122918979
Q027,rrf,6,6,1.0,1.0,0.9726491717364414
Q027,simple,6,6,1.0,1.0,0.9726491717364414
Q027,weighted,6,6,1.0,1.0,0.9805078959193838
Q028,rrf,7,6,0.8571428571428571,1.0,0.8658715733932584
Q028,simple,7,6,0.8571428571428571,1.0,0.8658715733932584
Q028,weighted,7,5,0.7142857142857143,1.0,0.7885873881845681
Q029,rrf,3,3,1.0,1.0,0.9484281476417359
Q029,simple,3,3,1.0,1.0,0.9484281476417359
Q029,weighted,3,3,1.0,1.0,0.9484281476417359
Q030,rrf,0,0,0.0,0.0,0.9216017310213247
Q030,simple,0,0,0.0,0.0,0.9216017310213247
Q030,weighted,0,0,0.0,0.0,0.9216017310213247
Q031,rrf,8,7,0.875,1.0,0.8666879991812895
Q031,simple,8,7,0.875,1.0,0.8666879991812895
Q031,weighted,8,8,1.0,1.0,0.9131222944025769
Q032,rrf,5,5,1.0,0.3333333333333333,0.7455591411953447
Q032,simple,5,5,1.0,0.3333333333333333,0.7455591411953447
Q032,weighted,5,4,0.8,0.3333333333333333,0.663311625849608
Q033,rrf,10,8,0.8,1.0,0.8340611153182702
Q033,simple,10,8,0.8,0.3333333333333333,0.7606971932189102
Q033,weighted,10,8,0.8,1.0,0.8340611153182702
Q034,rrf,12,10,0.8333333333333334,1.0,1.0
Q034,simple,12,10,0.8333333333333334,1.0,1.0
Q034,weighted,12,10,0.8333333333333334,1.0,1.0
Q035,rrf,7,5,0.7142857142857143,1.0,0.8586414520296746
Q035,simple,7,5,0.7142857142857143,1.0,0.8586414520296746
Q035,weighted,7,7,1.0,1.0,0.9824542909798009
Q036,rrf,5,5,1.0,1.0,0.9626202529071795
Q036,simple,5,5,1.0,1.0,0.9626202529071795
Q036,weighted,5,4,0.8,1.0,0.8762782072520698
Q037,rrf,9,7,0.7777777777777778,0.5,0.8006473587198288
Q037,simple,9,7,0.7777777777777778,0.5,0.8006473587198288
Q037,weighted,9,8,0.8888888888888888,0.5,0.8144522984887895
Q038,rrf,9,9,1.0,1.0,0.9897119920294625
Q038,simple,9,9,1.0,1.0,0.9897119920294625
Q038,weighted,9,9,1.0,1.0,1.0
Q039,rrf,1,1,1.0,0.5,0.7885840970019921
Q039,simple,1,1,1.0,1.0,0.8967048973456861
Q039,weighted,1,0,0.0,0.0,0.5719409191630741
Q040,rrf,3,3,1.0,1.0,0.8950349182629463
Q040,simple,3,3,1.0,1.0,0.8950349182629463
Q040,weighted,3,3,1.0,1.0,0.8950349182629463
Q041,rrf,7,7,1.0,1.0,0.9399584513329977
Q041,simple,7,7,1.0,1.0,0.9399584513329977
Q041,weighted,7,7,1.0,1.0,0.9399584513329977
Q042,rrf,0,0,0.0,0.0,1.0
Q042,simple,0,0,0.0,0.0,1.0
Q042,weighted,0,0,0.0,0.0,0.0
Q043,rrf,5,5,1.0,0.5,0.8062360720438981
Q043,simple,5,5,1.0,0.5,0.8062360720438981
Q043,weighted,5,4,0.8,0.2,0.6741272963389928
Q044,rrf,9,8,0.8888888888888888,0.3333333333333333,0.7943903535039538
Q044,simple,9,8,0.8888888888888888,0.3333333333333333,0.7943903535039538
Q044,weighted,9,8,0.8888888888888888,0.5,0.8144522984887895
Q045,rrf,0,0,0.0,0.0,1.0
Q045,simple,0,0,0.0,0.0,1.0
Q045,weighted,0,0,0.0,0.0,1.0
Q046,rrf,1,1,1.0,0.1111111111111111,0.7863639746437395
Q046,simple,1,1,1.0,0.1111111111111111,0.7863639746437395
Q046,weighted,1,1,1.0,0.125,0.7907759102206743
Q047,rrf,2,2,1.0,0.2,0.5798318582307901
Q047,simple,2,2,1.0,0.2,0.5798318582307901
Q047,weighted,2,2,1.0,0.25,0.5794014780136998
Q048,rrf,4,3,0.75,1.0,0.7732232231091191
Q048,simple,4,3,0.75,1.0,0.7732232231091191
Q048,weighted,4,4,1.0,1.0,0.9606438715655009
Q049,rrf,4,4,1.0,0.5,0.75128527957174
Q049,simple,4,4,1.0,0.5,0.75128527957174
Q049,weighted,4,4,1.0,0.5,0.696134441531669
Q050,rrf,3,1,0.3333333333333333,0.1,0.581651944188648
Q050,simple,3,1,0.3333333333333333,0.1,0.581651944188648
Q050,weighted,3,2,0.6666666666666666,0.125,0.6231940073630601
